Video sequence name,Processing start time,Processing end time,Timestamp start time,Timestamp end time,Unique objects,GPU
/home/worklab/Data/cv/video/5_min_18_cam_October_2020/ingest_session_00005/recording/record_p1c1_00000.mp4,2021-04-21 11:28:42.23,2021-04-21 11:29:02.37,,,94,cuda:0

Processing fps,load,predict,pre_localize and align,localize,post_localize,detect,parse,match,update,add and remove,store,plot
24.86785851060064,0.6344742774963379,0.45014214515686035,0.24686241149902344,8.467388153076172,1.8551325798034668,4.946163892745972,0.007014751434326172,0.18938064575195312,0.5804867744445801,0.013725996017456055,0.054077863693237305,0.00039267539978027344

Detection step,Skip step
10,1

Frame #,Timestamp,Object ID,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,Generation method,GPS lat of bbox bottom center,GPS long of bbox bottom center
0,,0,sedan,1264.8818359375,1419.7421875,2076.9326171875,2156.291015625,Detector,36.004527875263264,-86.6097559839918
0,,1,sedan,2897.966064453125,3104.286376953125,2061.50146484375,2148.51513671875,Detector,36.00463277028616,-86.60954389773418
0,,2,sedan,1529.9140625,1626.396728515625,1038.8594970703125,1126.5699462890625,Detector,36.00499761312061,-86.61009899180415
0,,3,sedan,3090.693603515625,3288.938232421875,1498.2091064453125,1635.8841552734375,Detector,36.00484823827245,-86.60961235465324
0,,4,sedan,1761.060546875,1819.62060546875,441.73504638671875,490.39801025390625,Detector,36.005777485840696,-86.61063396739885
0,,5,sedan,1185.2672119140625,1240.2718505859375,473.5923767089844,522.1237182617188,Detector,36.00563344286916,-86.61079890778588
0,,6,sedan,1969.9332275390625,2059.2451171875,723.2113647460938,784.2393188476562,Detector,36.005354506379526,-86.61022658314508
0,,7,sedan,1081.5115966796875,1160.7076416015625,789.402099609375,858.0216064453125,Detector,36.005173698611536,-86.61040993980022
0,,8,sedan,1661.8809814453125,1739.9984130859375,549.0540771484375,611.3072509765625,Detector,36.00555832089873,-86.61050491431646
0,,9,sedan,1619.10302734375,1810.30517578125,1998.68310546875,2153.07861328125,Detector,36.004561949095205,-86.60971618843544
0,,10,sedan,1574.7625732421875,1634.4786376953125,379.6341247558594,423.4427795410156,Detector,36.005890754780204,-86.61081822297633
0,,11,sedan,1955.5537109375,2080.9111328125,822.6965942382812,911.8406372070312,Detector,36.005228838317265,-86.61013607610816
0,,12,sedan,1129.60107421875,1205.637451171875,603.65966796875,674.4693603515625,Detector,36.005400325961794,-86.61060401947522
0,,13,SUV,1402.9984130859375,1525.8350830078125,275.0468444824219,410.5635681152344,Detector,36.00601505024529,-86.61100003043694
0,,14,SUV,775.0884399414062,850.5215454101562,131.500244140625,249.09823608398438,Detector,36.00639404448918,-86.61180030229997
0,,15,sedan,1169.8692626953125,1237.0218505859375,23.025739669799805,84.80430603027344,Detector,36.00715410775267,-86.61220867666488
1,,0,sedan,1268.665283203125,1416.128173828125,2082.605224609375,2159.929443359375,Localizer,36.004526675972755,-86.60975490697695
1,,1,sedan,2867.29296875,3091.18505859375,2051.34619140625,2151.193603515625,Localizer,36.00463255447875,-86.60954724505656
1,,2,sedan,1529.9229736328125,1631.378173828125,1043.938720703125,1132.8631591796875,Localizer,36.00499370032887,-86.6100950302595
1,,3,sedan,3066.776611328125,3264.09130859375,1489.25048828125,1624.802001953125,Localizer,36.004851235327635,-86.60961849141503
1,,4,sedan,1751.2139892578125,1812.005615234375,438.5740051269531,486.891845703125,Localizer,36.005783056428086,-86.61064250081411
1,,5,sedan,1186.3802490234375,1241.713134765625,475.87774658203125,525.1369018554688,Localizer,36.00562874717662,-86.61079393873294
1,,6,sedan,1958.760498046875,2049.327392578125,719.2498779296875,782.29345703125,Localizer,36.00535687205108,-86.61023210773497
1,,7,sedan,1081.290283203125,1160.252685546875,791.5230102539062,859.658203125,Localizer,36.00517174051126,-86.61040821291684
1,,8,sedan,1652.35546875,1732.842529296875,545.6583251953125,609.3117065429688,Localizer,36.005561579958275,-86.61051115448404
1,,9,sedan,1621.43798828125,1804.874755859375,2011.6568603515625,2162.181640625,Localizer,36.00455882020814,-86.60971400956952
1,,10,sedan,1566.396484375,1627.6834716796875,376.18780517578125,421.3749084472656,Localizer,36.00589604453308,-86.610826594076
1,,11,sedan,1948.6197509765625,2063.626708984375,823.3384399414062,912.1453247070312,Localizer,36.005227049528564,-86.61013883580463
1,,12,sedan,1131.5264892578125,1210.3475341796875,605.9209594726562,678.3310546875,Localizer,36.00539647990641,-86.61059896243052
1,,13,SUV,1398.4111328125,1526.8818359375,273.0319519042969,410.0593566894531,Localizer,36.006018119996575,-86.61100367813064
1,,14,SUV,772.5477905273438,850.4539184570312,131.2025146484375,249.15013122558594,Localizer,36.006394282104196,-86.61180157155766
1,,15,sedan,1165.29150390625,1235.021484375,20.43431854248047,82.29074096679688,Localizer,36.00716977558572,-86.61222625723617
2,,0,sedan,1281.649658203125,1413.2738037109375,2098.404296875,2163.606201171875,Localizer,36.0045244826978,-86.60975203206443
2,,1,sedan,2829.0126953125,3067.9677734375,2013.2977294921875,2150.940185546875,Localizer,36.0046364163322,-86.60955405722994
2,,2,sedan,1535.5364990234375,1641.674072265625,1055.66015625,1147.9320068359375,Localizer,36.00498479430356,-86.61008535779676
2,,3,sedan,3037.0439453125,3233.199951171875,1470.114501953125,1600.4339599609375,Localizer,36.00485954768716,-86.60962831811072
2,,4,sedan,1742.6148681640625,1804.7747802734375,433.18865966796875,480.8418884277344,Localizer,36.00579372210248,-86.61065459104113
2,,5,sedan,1189.052001953125,1245.0604248046875,480.228271484375,531.6019287109375,Localizer,36.00561929977586,-86.61078373201197
2,,6,sedan,1946.01904296875,2037.3895263671875,709.7950439453125,777.7742309570312,Localizer,36.00536398776451,-86.61024171093081
2,,7,sedan,1081.16748046875,1160.5665283203125,795.0291748046875,859.3976440429688,Localizer,36.005170097847866,-86.61040661983479
2,,8,sedan,1642.8072509765625,1725.3411865234375,538.0621337890625,604.2315063476562,Localizer,36.00557078295089,-86.61052221219985
2,,9,sedan,1635.94580078125,1799.097900390625,2044.0928955078125,2174.58837890625,Localizer,36.004553010645125,-86.6097086633167
2,,10,sedan,1559.1259765625,1621.8543701171875,370.7073059082031,418.4477233886719,Localizer,36.00590493929221,-86.61083738562743
2,,11,sedan,1933.0633544921875,2046.2637939453125,808.7298583984375,898.4641723632812,Localizer,36.005239771715935,-86.61015344439036
2,,12,sedan,1134.83447265625,1215.7601318359375,609.978515625,687.0988159179688,Localizer,36.00538816259452,-86.61058928801572
2,,13,SUV,1393.318115234375,1524.7750244140625,267.86688232421875,408.8622131347656,Localizer,36.00602605600595,-86.61101255063399
2,,14,SUV,770.9602661132812,851.5511474609375,130.76568603515625,249.50340270996094,Localizer,36.0063944001592,-86.61180188652891
2,,15,sedan,1163.0772705078125,1233.6622314453125,18.87016487121582,80.0373306274414,Localizer,36.007181734622314,-86.6122390114152
3,,0,sedan,1294.1165771484375,1412.361083984375,2117.780517578125,2165.503173828125,Localizer,36.00452212102687,-86.6097488850525
3,,1,sedan,2793.1220703125,3036.1669921875,1969.019775390625,2144.04541015625,Localizer,36.00464211573105,-86.60956237938878
3,,2,sedan,1542.4857177734375,1651.6859130859375,1068.0487060546875,1163.3587646484375,Localizer,36.0049757297245,-86.61007544220458
3,,3,sedan,3009.64697265625,3205.398193359375,1450.93994140625,1576.939453125,Localizer,36.004868041321956,-86.60963781429277
3,,4,sedan,1737.195068359375,1800.5709228515625,428.8483581542969,475.3525390625,Localizer,36.00580328532512,-86.61066434111564
3,,5,sedan,1192.5511474609375,1248.1141357421875,484.6309509277344,537.763427734375,Localizer,36.005610221824085,-86.61077374920166
3,,6,sedan,1935.5777587890625,2027.947509765625,700.5892333984375,772.3504638671875,Localizer,36.00537187720544,-86.61025103637773
3,,7,sedan,1082.6693115234375,1162.103515625,796.6345825195312,859.5714721679688,Localizer,36.005169366030046,-86.61040534917267
3,,8,sedan,1635.5838623046875,1718.717529296875,531.0529174804688,598.3217163085938,Localizer,36.005580516107734,-86.61053302371995
3,,9,sedan,1654.7528076171875,1796.67529296875,2074.89208984375,2171.77294921875,Localizer,36.00454977230087,-86.6097046661636
3,,10,sedan,1556.1802978515625,1619.0054931640625,366.21728515625,415.4112548828125,Localizer,36.005913429552635,-86.61084590009784
3,,11,sedan,1921.2508544921875,2034.9075927734375,797.09765625,888.2990112304688,Localizer,36.00524988488664,-86.61016463160014
3,,12,sedan,1137.6087646484375,1220.505615234375,616.9927368164062,695.6814575195312,Localizer,36.0053779819359,-86.61057816302922
3,,13,SUV,1388.4481201171875,1523.3438720703125,264.6961364746094,404.86083984375,Localizer,36.00603522491995,-86.61102222820897
3,,14,SUV,770.6152954101562,852.2338256835938,130.97439575195312,251.06553649902344,Localizer,36.00639095782524,-86.61179817307811
3,,15,sedan,1161.6968994140625,1233.1243896484375,17.846561431884766,77.9878158569336,Localizer,36.007191525946006,-86.61224898430663
4,,0,sedan,1303.5455322265625,1407.708740234375,2133.64013671875,2168.7744140625,Localizer,36.004519841906635,-86.60974643846707
4,,1,sedan,2761.144775390625,3001.2421875,1928.978515625,2121.421630859375,Localizer,36.00464975622626,-86.60957175008595
4,,2,sedan,1550.4794921875,1661.6015625,1080.9820556640625,1177.1661376953125,Localizer,36.0049672412742,-86.61006590198139
4,,3,sedan,2983.6376953125,3178.358154296875,1431.2513427734375,1555.30419921875,Localizer,36.00487646063456,-86.60964717539127
4,,4,sedan,1732.2142333984375,1795.9588623046875,424.76898193359375,470.32281494140625,Localizer,36.005812191616,-86.61067360149549
