im x,im y,roadway x,roadway y
912.8918224632511,304.7949193663479,960,0
930.4096296976936,322.6450427271892,970,0
988.6504126031508,381.9906643327499,1000,0
1079.105265082267,474.16146252285193,1040,0
1101.6401508413676,497.12383933971324,1050,0
1351.6842673286026,751.9113401505545,1120,0
1396.4258368145524,797.5016656972133,1130,0
1589.4245629533198,994.1616142830575,1160,0
970.4696200763572,299.150037247416,960,12
988.7330849010012,315.9154132806537,970,12
1048.615624493763,370.8859954641179,1000,12
1144.2738695690646,458.6977258649677,1040,12
1170.4227298607636,482.701685674356,1050,12
1435.9182086524584,726.419489486756,1120,12
1486.1368352540296,772.5188560052069,1130,12
1686.7209530499158,956.6497530409963,1160,12
1023.1949297971919,293.9808892355694,960,24
1042.062190175755,309.7620549797206,970,24
1103.0807277628032,360.79986522911054,1000,24
1203.360659585705,444.677131623731,1040,24
1233.1072963833324,469.5581475325271,1050,24
1512.4934083394169,703.2454158972818,1120,24
1568.0436415819017,749.7093656354198,1130,24
1774.8366015467507,922.6774548253492,1160,24
1074.4442032866364,288.9564506581729,960,36
1093.737749349523,303.79949045967044,970,36
1155.2671633847792,351.13571048430015,1000,36
1259.5309147404002,431.3485965022779,1040,36
1292.9006573541496,457.0208299096138,1050,36
1584.591386329548,681.4262909792158,1120,36
1645.3609742871345,728.1779565276335,1130,36
1857.0021593495935,890.9991674796748,1160,36
1121.7993082653422,284.3137933073194,960,48
1141.440590405904,298.29531649162647,970,48
1203.200998185118,342.25907441016335,1000,48
1311.1480060179229,419.1004731482895,1040,48
1348.1458551492744,445.4371594041844,1050,48
1651.3025892786443,661.2373742972524,1120,48
1717.2263753413968,708.1648068669527,1130,48
1932.9424909848922,861.720967331126,1160,48
im space-> roadway marking coordinate system Homography Matrix
-0.0709942538037832,4.284558798831265,524.5409126417958
0.35934854627178997,-0.35457930199023513,-220.2287495865338
-0.00020406035398619853,0.003373229544376503,0.9999999999999999
