im x,im y,roadway x,roadway y
262.651234823318,83.87687233262794,1490,0
327.6365381504449,176.13740630897817,1520,0
355.00780027903437,214.99676573796137,1530,0
436.4548809124455,330.6283126467628,1560,0
471.67583474600485,380.6319879621341,1570,0
577.6612082377449,531.1008886427761,1600,0
626.9050950324709,601.0131158410119,1610,0
769.211253507242,803.0471373322212,1640,0
832.9372503257399,893.5198164401999,1650,0
339.741634436215,55.09645647714639,1490,12
410.79628704034275,144.69896465548018,1520,12
438.9438173995642,180.19402693188803,1530,12
527.0146154224693,291.25451503370897,1560,12
563.2370448442872,336.9323195061357,1570,12
678.494599506836,482.2762991861636,1600,12
726.1221422523286,542.336367485182,1610,12
880.3327834641757,736.8016098578953,1640,12
943.5994785923863,816.5832196452933,1650,12
412.6190866203643,27.88887432839733,1490,24
489.5567171981181,114.92368008363826,1520,24
518.2036513167488,147.33019335647,1530,24
612.5543467104588,254.06332751719182,1560,24
649.440126407062,295.7899396693567,1570,24
773.5881771975044,436.2309878833137,1600,24
818.8873902458723,487.47519931695723,1610,24
984.4301677127277,674.7435538635663,1640,24
1046.5457287982035,745.0110647402967,1650,24
481.59094314946253,2.139381224200646,1490,36
564.2506302390562,86.68573734864948,1520,36
593.1570654015588,116.2519484920366,1530,36
693.4892983277307,218.87421811837794,1560,36
730.7483844474702,256.9837256046165,1570,36
863.4531541136497,392.7174201133907,1600,36
905.8275400053213,436.0589817172831,1610,36
1082.2003897314241,616.4574599678048,1640,36
1142.596980815765,678.232575242373,1650,36
544.7886367532074,-21.454424387864083,1490,48
632.6478646446682,60.82824629286933,1520,48
661.5485070264456,87.89452147683961,1530,48
767.1897408517804,186.83054745574768,1560,48
804.5080792936865,221.78023488255872,1570,48
944.9131836809121,353.2736163229268,1600,48
983.9662439949316,389.84792021805123,1610,48
1170.0271096086335,564.09922311793,1640,48
1228.2847562957868,618.659169432453,1650,48
im space-> roadway marking coordinate system Homography Matrix
0.19182792484480954,1.7127453948843718,1437.1369360495746
0.13515470165578108,-0.09554714753745766,-27.638762006823693
5.6445832807527346e-05,0.0009491238645697015,1.0
