im x,im y,roadway x,roadway y
1358.3504307321548,1033.0110155926839,840,0
1388.4993514915693,954.4708923100059,850,0
1453.6535811234078,784.7394027980789,880,0
1474.1429140567939,731.3632057723379,890,0
1521.3456964926386,608.3965370354816,920,0
1535.237908496732,572.2063180827887,930,0
1572.2653934804082,475.7470365492262,960,0
1584.6789684304135,443.40877427004597,970,0
1611.9903518728718,372.26064131668556,1000,0
1212.4693758506708,999.109080303325,840,12
1247.521322179147,927.9098143236074,850,12
1329.8060715903941,760.7689170820117,880,12
1354.2839951865224,711.0481347773766,890,12
1413.5812557107427,590.6005743375539,920,12
1431.175355450237,554.8625592417062,930,12
1476.9665071770335,461.8492822966507,960,12
1491.160453808752,433.0178282009725,970,12
1526.5781142463868,361.07570543702684,1000,12
1070.3468435049592,966.0806044765046,840,24
1109.173593073593,901.8443001443002,850,24
1208.6217370415843,737.3138845886938,880,24
1236.5583278865554,691.0946318451789,890,24
1307.853781512605,573.1409914424486,920,24
1329.1771620486986,537.8628603414497,930,24
1383.3725448561418,448.2001627915207,960,24
1398.75519630485,422.75057736720555,970,24
1442.6748638893987,350.08837503313555,1000,24
938.7297481279783,935.4935330156569,840,36
979.8406435224387,877.4772226926334,850,36
1094.7756904001503,715.2791658839001,880,36
1125.2781841867923,672.2335905401343,890,36
1207.2666304052216,556.5302692412292,920,36
1231.974333662389,521.6623889437315,930,36
1293.3347505314493,435.0696511191697,960,36
1309.1214188267395,412.7912687585266,970,36
1361.1209869417792,339.40870067094727,1000,36
815.2922019242695,906.8073427007105,840,48
858.0248166948675,854.5264147396127,850,48
988.6325050033356,694.7353235490327,880,48
1021.413665537529,654.6294348368693,890,48
1114.1633833494675,541.1554211035818,920,48
1142.3109354413702,506.7184892402284,930,48
1210.7216184584518,423.0219026918576,960,48
1226.580054894785,403.62000609942055,970,48
1286.997971602434,329.70211532889016,1000,48
im space-> roadway marking coordinate system Homography Matrix
0.1425445103706062,1.612517188461154,1152.0322509994578
-0.2627323850228951,-0.1002680097038999,460.4633655647178
4.6674000806868726e-05,0.0024403541129110126,1.0
