im x,im y,roadway x,roadway y
1055.6483134487396,1095.4960958652855,1760,0
1110.5829286160024,997.1038156478643,1770,0
1226.2755672101243,789.8890662410215,1800,0
1261.6577327687808,726.516783796761,1810,0
1344.6385271665918,577.8915581499775,1840,0
1369.3127836611195,533.6979954614221,1850,0
1426.7001212986086,430.9126935426329,1880,0
1445.583129884576,397.09171807058345,1890,0
1491.238907626314,315.31857624676644,1920,0
1506.4960702886365,287.9917802107286,1930,0
1542.2003835091084,224.04250559284117,1960,0
930.7847330952619,1029.8350751621635,1760,12
987.3398423374557,944.4358300587418,1770,12
1118.729355894693,746.0352713357001,1800,12
1156.682303436453,688.725629237123,1810,12
1249.0686323840193,549.2205897152058,1840,12
1276.4340295466122,507.89834154072565,1850,12
1343.4653728974115,406.679792109373,1880,12
1364.1503895092185,375.4450402492859,1890,12
1416.6675992460832,296.1430969489928,1920,12
1432.8274954726269,271.7413592954324,1930,12
1473.9967307692307,209.5750641025641,1960,12
819.3150974407138,971.2174219300305,1760,24
875.8636896514973,896.796448569016,1770,24
1020.7707601457943,706.0909895740132,1800,24
1060.324101049607,654.0366763778585,1810,24
1160.221440397351,522.5664321192053,1840,24
1189.678363254838,483.7995453485661,1850,24
1265.5206580004478,383.9870270127886,1880,24
1287.4945738716197,355.0681778646077,1890,24
1346.0638685577185,277.98785191484194,1920,24
1362.584002816631,256.2464712095509,1930,24
1408.589481712372,195.7007991511092,1960,24
711.2110928118475,914.3696263924371,1760,36
767.0102592825333,850.2778885822792,1770,36
926.1370792872631,667.5024983501461,1800,36
967.0840178988847,620.4702464435985,1810,36
1074.6661450182578,496.8998435054773,1840,36
1106.24801334249,460.62444815069165,1850,36
1191.6847968109844,362.4905104639575,1880,36
1214.938391830662,335.7810914992899,1890,36
1280.0358367890237,261.0092151743204,1920,36
1296.8134080025973,241.7382517652788,1930,36
1348.070623211982,182.86346552981433,1960,36
616.9620113033852,864.8076093922974,1760,48
670.8733966452886,809.1937592501233,1770,48
841.6310707185459,633.0437375745527,1800,48
883.1210287443267,590.2435703479576,1810,48
996.3754940711462,473.4126482213439,1840,48
1029.4515408664583,439.29209468512727,1850,48
1123.223632517377,342.55877908733754,1880,48
1147.2389853137518,317.78504672897196,1890,48
1217.7922987164527,245.00373395565927,1920,48
1234.3209296575596,227.9531462479911,1930,48
1289.9761477301872,170.54039497307002,1960,48
im space-> roadway marking coordinate system Homography Matrix
0.18651844709586923,3.2720031937287604,1902.8338038271731
-0.23416996956654595,-0.13129111640989047,390.31225235200424
2.7404964422993435e-05,0.002008622920777505,1.0
