im x,im y,roadway x,roadway y
1139.7512291310634,1018.8901800972789,920,0
1233.3659071019633,943.2739710470236,930,0
1462.1522681912993,758.4743468539444,960,0
1542.086936557741,693.9080125507003,970,0
1718.7907128897239,551.1775136513476,1000,0
1775.8639860199764,505.0772156452912,1010,0
1920.686393878282,388.0985355372524,1040,0
1975.2462013833767,344.02846127678873,1050,0
1035.7023292455922,909.5862852680968,920,12
1125.7570061590266,842.9079768983228,930,12
1357.761612284069,671.1270633397313,960,12
1432.4012049573516,615.8623958350387,970,12
1613.8072910582548,481.5456522325159,1000,12
1671.3381591034356,438.9486312695205,1010,12
1819.9068769358464,328.94534081017065,1040,12
1869.0658188377,292.5470636788848,1050,12
940.5344966144587,809.6119964434718,920,24
1027.0453334730628,750.8403591046836,930,24
1262.1467904373362,591.1228246516487,960,24
1331.456871596591,544.0366201744974,970,24
1517.4841933078883,417.65788331645655,1000,24
1575.4452617914324,378.28169623539594,1010,24
1727.7178836244816,274.8344099535001,1040,24
1771.3697408536586,245.17926829268293,1050,24
855.7013432140886,720.4943403461134,920,36
938.594087087484,668.3425619950572,930,36
1175.9579528985507,519.0056340579711,960,36
1239.8151614980447,478.83001875822424,970,36
1429.646408555974,359.39812812386026,1000,36
1487.7827843838788,322.8217615489845,1010,36
1643.0481152812831,225.13693723031832,1040,36
1680.9066067288463,201.31835477762243,1050,36
778.7608941196157,639.6680099842428,920,48
858.1105754788505,593.2762098216201,930,48
1097.4718675050237,453.33360342257083,960,48
1155.9404534646171,419.14993804213134,970,48
1349.2960850545435,306.1045462096462,1000,48
1407.536973963064,272.0540039358159,1010,48
1565.5694240837697,179.66031413612566,1040,48
1597.6059481931563,160.93015669971217,1050,48
im space-> roadway marking coordinate system Homography Matrix
0.1146653976817412,0.717390453077852,898.5866998436595
-0.09104900159282536,-0.11239391317152918,218.22411424911473
-1.6638462812675778e-06,0.0008976098143370357,1.0
