im x,im y,roadway x,roadway y
481.21609080525417,524.0694603083952,240,0
484.22481269974327,537.0574212815005,250,0
496.8002808002808,591.3428270571128,280,0
500.690376974513,608.1354782440159,290,0
513.658110420607,664.114203368459,320,0
519.2085552083792,688.0741979492144,330,0
535.4642256984766,758.2461916797596,360,0
541.4670669794939,784.1590779549582,370,0
561.8197530269841,872.0169462966084,400,0
570.6582173526799,910.170565590761,410,0
596.2029977191268,1020.4415118931248,440,0
559.929460096182,517.094857966161,240,12
564.7217928902628,531.0946820081286,250,12
582.2129285870277,582.1914719371042,280,12
588.0020583733573,599.1032353406872,290,12
607.5216736017824,656.1258150126142,320,12
615.3719769673704,679.0588771593091,330,12
639.0367221121916,748.1906095036708,360,12
647.5797695706159,773.1473824030493,370,12
677.6949332703437,861.1226985814207,400,12
689.3211408273057,895.0862956575459,410,12
727.0247403679155,1005.2296813525679,440,12
639.4249273090961,510.05095580805477,240,24
646.2654845761476,525.054408549915,250,24
668.1195821550182,572.9871876262481,280,24
675.8818440587152,590.0122230284088,290,24
702.3457265847393,648.055682843852,320,24
712.3364656880175,669.9684563417484,330,24
743.381610463284,738.0600378190986,360,24
754.3283866929266,762.0696957205454,370,24
794.4836433343983,850.1425634471933,400,24
808.0913176294888,879.9883918267599,410,24
858.2366086468277,989.9724873666479,440,24
716.2911126662001,503.2400279916025,240,36
725.3501490483834,519.1962852556753,250,36
750.8566463944396,564.1225021720244,280,36
760.5807942845136,581.2502626602227,290,36
794.0767317009297,640.2487887914102,320,36
805.9663093415007,661.1906584992344,330,36
844.0588898783021,728.2855446720095,360,36
857.1799057362915,751.3964248764225,370,36
907.2244150133487,839.5430037166938,400,36
921.9683834778175,865.5124936257012,410,36
984.3068261787473,975.3131597466573,440,36
788.1436829934833,496.8733445448812,240,48
799.4487325400931,513.7075012933265,250,48
827.770981924768,555.8816805080605,280,48
839.3361384266263,573.1031580937973,290,48
879.5433512364989,632.9750339373193,320,48
893.0114665057332,653.0301750150875,330,48
937.4598401625103,719.2174912463582,360,48
952.4316824001035,741.5118065433855,370,48
1011.6704781214636,829.7232883817427,400,48
1026.7591875987453,852.1916286950748,410,48
1100.3782262145749,961.8164853238867,440,48
im space-> roadway marking coordinate system Homography Matrix
0.24467397565080531,3.480119058901754,-1084.695800298483
0.5317968353921008,-0.12530128143584277,-190.55330534140415
0.0001787614365642859,0.004734121227576686,1.0
