im x,im y,roadway x,roadway y
74.14687494025199,1009.9986807640097,320,12
209.05581289391753,1008.7869238362822,330,12
594.2167874856925,1005.32739412438,360,12
725.8135473662136,1004.1453872991059,370,12
1104.8364660573661,1000.740989825832,400,12
1236.5158837903882,999.5582405647569,410,12
1612.1118908230915,996.1846237351219,440,12
1743.350794811593,995.005831184327,450,12
117.42769095311468,858.9967226746887,320,24
239.58264924466897,858.060669354447,330,24
599.9503478579275,855.2992310508971,360,24
721.0436723839266,854.3713128552956,370,24
1077.1194879089617,851.642762544759,400,24
1195.9270072992701,850.7323600973236,410,24
1563.9714597706854,847.9120960937112,440,24
1682.241110809945,847.0058152428356,450,24
155.53673673598644,726.0384962766695,320,36
266.4796456883397,725.2567494138226,330,36
605.0112869857351,722.8713238732655,360,36
716.8306815589816,722.0834009520213,370,36
1052.594915343438,719.717475640563,400,36
1159.9892908519366,718.9607331237679,410,36
1521.2775829142288,716.4149553758245,440,36
1628.0091903918287,715.6628829802103,450,36
187.67450198030005,613.9134042020643,320,48
289.1369156862602,613.3864787990904,330,48
609.2589559124646,611.7239869571771,360,48
713.2988431829373,611.1836759442317,370,48
1032.110971918894,609.5279868740507,400,48
1130.0053431115768,609.0195914091147,410,48
1485.809023985157,607.1717938742837,440,48
1583.0044503716692,606.6670282438863,450,48
im space-> roadway marking coordinate system Homography Matrix
0.14283786344542113,0.2640662749297404,273.5825094822232
-0.00045193865936329246,-0.12462499859189564,145.9226049987679
1.9648772320267962e-05,0.0007161468095911115,1.0
