im x,im y,roadway x,roadway y
124.42823124751952,764.287075009922,1320,0
262.9372440092274,765.9780024480957,1330,0
636.319350387113,770.5362765705434,1360,0
771.9061314939372,772.1915292061361,1370,0
1156.5880001918435,776.8877515946987,1400,0
1292.1076395816951,778.5421845596492,1410,0
1643.4785117697754,782.8317440396522,1440,0
1780.0727769092564,784.4992961087648,1450,0
161.0220906034897,617.9116375860413,1320,12
288.9240499116859,619.8022192467665,1330,12
649.7251052595644,625.1353968001092,1360,12
776.1763372191887,627.0045345475844,1370,12
1139.2024784587086,632.3706021880143,1400,12
1263.452901727529,634.207208701628,1410,12
1612.4298705235353,639.3656086259906,1440,12
1736.1398358199108,641.1942263649472,1450,12
194.77367629864708,482.9052948054117,1320,24
312.88080159367286,485.04549103559003,1330,24
662.0578214321354,491.3728598514548,1360,24
780.1025904077969,493.5119261349064,1370,24
1123.245708968433,499.7299558000991,1400,24
1237.1650380613241,501.794265790373,1410,24
1584.017206615144,508.0795064285966,1440,24
1695.9527773946284,510.1078691205738,1450,24
225.06096643082944,361.75613427668225,1320,36
334.4813653779171,363.5423197492163,1330,36
673.3336244728448,369.07376533299083,1360,36
783.7095426834687,370.8755487620639,1370,36
1108.3820177636073,376.1755226599863,1400,36
1212.563655420021,377.8761902638093,1410,36
1557.055905964601,383.49970342263856,1440,36
1657.641973884966,385.1416767200085,1450,36
253.83740929857566,246.6503628056974,1320,48
354.9322106874611,248.50631488303114,1330,48
683.8929633679188,254.5455511633419,1360,48
787.0752991968509,256.4398273070696,1370,48
1094.6570317204564,262.0865761762935,1400,48
1189.923228958295,263.83552364178297,1410,48
1532.5196090330203,270.1250900146451,1440,48
1622.8900339284016,271.7841582902622,1450,48
im space-> roadway marking coordinate system Homography Matrix
0.07735613794333647,0.5842249977957732,1288.588401424418
0.0013495642330965583,-0.10177994937281315,77.7163093432264
-1.880838570054486e-05,0.00042466806313619946,0.9999999999999999
